trajectory_index,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23,time_24,time_25,time_26,time_27,time_28,time_29,time_30,time_31,time_32,time_33,time_34,time_35,time_36,time_37,time_38,time_39,time_40,time_41,time_42,time_43,time_44,time_45,time_46,time_47,time_48,time_49,time_50,time_51,time_52,time_53,time_54,time_55,time_56,time_57,time_58,time_59,time_60,time_61,time_62,time_63,time_64,time_65,time_66,time_67,time_68,time_69,time_70,time_71,time_72,time_73,time_74,time_75,time_76,time_77,time_78,time_79,time_80,time_81,time_82,time_83,time_84,time_85,time_86,time_87,time_88,time_89,time_90,time_91,time_92,time_93,time_94,time_95,time_96,time_97,time_98,time_99,time_100
0,0.0,0.023661895,0.029224576,0.03316127,0.03841569,0.044288274,0.050147776,0.055796474,0.061190695,0.06634969,0.07129106,0.07604558,0.08068881,0.08532734,0.09004018,0.09483598,0.09966725,0.10448424,0.10927433,0.114075735,0.11899293,0.12417275,0.12974042,0.13574041,0.14210911,0.1486913,0.15527666,0.16163859,0.1675686,0.17290218,0.17753622,0.18144543,0.18469039,0.18739913,0.18972917,0.1918324,0.19383478,0.19582984,0.19787918,0.20001766,0.20226045,0.20460992,0.20706077,0.20960398,0.2122295,0.21492803,0.21769193,0.22051583,0.22339724,0.22633685,0.22933905,0.23241132,0.23556343,0.23880474,0.24214083,0.245569,0.24907544,0.25263473,0.2562134,0.25977543,0.26328838,0.26672715,0.27007595,0.27332732,0.27648124,0.27954248,0.28251913,0.28542075,0.2882573,0.29103813,0.2937721,0.2964669,0.2991294,0.3017656,0.30438083,0.30697984,0.3095667,0.31214473,0.31471628,0.31728247,0.3198431,0.32239667,0.32494077,0.32747275,0.32999042,0.33249217,0.3349776,0.3374468,0.33990106,0.342342,0.34477186,0.34719342,0.34960958,0.3520237,0.354439,0.35685903,0.35928735,0.3617274,0.36418265,0.36665598,0.3691499
1,0.0,0.02384915,0.028752968,0.032402966,0.036774196,0.041560244,0.046687495,0.05218513,0.05792316,0.06371033,0.0693978,0.074896544,0.0801908,0.08532252,0.09033878,0.09525373,0.10004277,0.10466276,0.10908323,0.11330339,0.117348194,0.12125596,0.12506586,0.12881,0.13250995,0.13617676,0.13981448,0.1434242,0.14700645,0.15056208,0.15409304,0.15760286,0.16109535,0.16457309,0.1680366,0.17148478,0.17491561,0.17832683,0.18171652,0.1850833,0.18842609,0.191743,0.1950309,0.1982856,0.20150323,0.20468153,0.20782031,0.2109215,0.2139883,0.21702465,0.22003427,0.22302,0.2259834,0.22892462,0.23184288,0.23473734,0.23760805,0.24045722,0.24328944,0.24611108,0.2489297,0.25175324,0.25458977,0.2574472,0.26033258,0.26325116,0.26620513,0.26919264,0.27220696,0.2752362,0.27826378,0.28126994,0.28423345,0.28713408,0.2899547,0.29268274,0.29531083,0.29783672,0.3002627,0.30259436,0.30483952,0.30700704,0.3091059,0.31114486,0.31313148,0.3150726,0.31697384,0.31883976,0.32067424,0.32248032,0.32426047,0.32601684,0.32775104,0.32946458,0.3311586,0.33283418,0.33449224,0.3361336,0.33775908,0.33936945,0.3409655
2,0.0,0.03744388,0.028240401,0.03084097,0.03476491,0.03948292,0.045096423,0.051356204,0.057839986,0.0642103,0.07031022,0.076155685,0.08185955,0.087563485,0.09340322,0.09946243,0.10567416,0.111742586,0.117258415,0.12203219,0.12621601,0.13007453,0.13381097,0.13752927,0.14126372,0.14502445,0.14881483,0.15263382,0.15648063,0.1603597,0.16428292,0.1682665,0.17232718,0.17648691,0.18077798,0.18523444,0.18987858,0.19471118,0.19970918,0.2048292,0.21001615,0.21521321,0.22037043,0.22545059,0.23043115,0.23530371,0.2400715,0.24474642,0.24934596,0.2538903,0.2583997,0.26289216,0.26738107,0.27187383,0.27637005,0.28086194,0.28533453,0.28976852,0.29414386,0.29844448,0.30266073,0.30678967,0.31083363,0.31479803,0.31868958,0.32251492,0.3262798,0.3299888,0.33364582,0.33725378,0.3408154,0.34433335,0.34781048,0.35125,0.35465565,0.35803157,0.36138242,0.36471316,0.36802918,0.37133572,0.37463725,0.37793693,0.38123563,0.38453102,0.38781777,0.39108753,0.39433047,0.39753675,0.4006984,0.40381017,0.40687045,0.4098807,0.4128452,0.41577017,0.41866302,0.42153144,0.42438275,0.42722332,0.43005827,0.43289128,0.43572465
3,0.0,0.025825467,0.033823438,0.039870016,0.046136227,0.05152752,0.057036635,0.06331867,0.07043326,0.07818803,0.08627479,0.09434381,0.102092706,0.10935152,0.11614752,0.1227208,0.12944743,0.13669087,0.1446154,0.1530337,0.16142663,0.1691689,0.17579886,0.18115762,0.185376,0.18878499,0.19180785,0.19485636,0.19824904,0.20216306,0.20662063,0.21152802,0.2167507,0.22216856,0.22769259,0.23325957,0.23882401,0.24435194,0.24981737,0.25519994,0.26048344,0.2656553,0.2707062,0.27562988,0.28042272,0.28508338,0.28961268,0.29401317,0.29828903,0.30244574,0.30648965,0.3104278,0.3142676,0.31801647,0.32168183,0.32527092,0.32879055,0.33224717,0.3356465,0.3389937,0.34229308,0.34554842,0.3487626,0.351938,0.3550765,0.3581795,0.36124828,0.3642837,0.36728677,0.37025812,0.3731987,0.37610915,0.3789904,0.3818433,0.38466877,0.38746792,0.39024177,0.39299163,0.3957189,0.3984252,0.40111226,0.403782,0.40643653,0.4090778,0.4117081,0.41432968,0.41694474,0.4195555,0.4221643,0.42477316,0.42738435,0.42999977,0.43262154,0.43525156,0.4378921,0.44054613,0.44321698,0.44590887,0.4486266,0.45137534,0.45416057
4,0.0,0.023762768,0.030579394,0.036227066,0.04216307,0.0480148,0.05358086,0.05922877,0.065123044,0.07120117,0.07732589,0.08334734,0.0891729,0.09478876,0.10023138,0.10555352,0.11079328,0.11595879,0.121024035,0.12594071,0.13063377,0.13499641,0.1389331,0.14244522,0.14566885,0.1488061,0.1520209,0.15538938,0.15892227,0.16260569,0.1664227,0.17035739,0.17439365,0.1785146,0.182703,0.18694271,0.19121921,0.19552022,0.19983545,0.20415619,0.2084752,0.21278626,0.21708402,0.22136419,0.22562337,0.2298592,0.2340704,0.23825672,0.24241897,0.24655883,0.25067884,0.2547821,0.25887236,0.26295355,0.2670297,0.27110475,0.27518198,0.27926376,0.2833516,0.28744522,0.29154316,0.2956423,0.29973856,0.30382717,0.3079033,0.3119625,0.31600118,0.3200169,0.3240082,0.3279746,0.33191636,0.3358341,0.33972856,0.34360042,0.34745005,0.35127744,0.35508206,0.35886326,0.36262003,0.36635143,0.37005654,0.37373495,0.37738648,0.38101143,0.38461062,0.3881851,0.3917362,0.3952655,0.3987742,0.4022633,0.40573317,0.4091833,0.41261247,0.41601875,0.4193996,0.4227525,0.4260753,0.42936662,0.4326262,0.4358547,0.4390543
5,0.0,0.021406041,0.03294301,0.041790128,0.04703908,0.05179479,0.05668513,0.06134618,0.06565094,0.06982072,0.07415161,0.07878379,0.0836584,0.08862216,0.09354159,0.09834997,0.103045866,0.107676275,0.11231711,0.11704916,0.12192811,0.12695587,0.13206886,0.13715604,0.14209758,0.14679939,0.1512071,0.15530176,0.15909016,0.16259828,0.16586554,0.1689377,0.17186086,0.17467763,0.1774256,0.18013673,0.18283802,0.18555227,0.1882989,0.1910942,0.1939519,0.19688304,0.1998961,0.2029971,0.20618981,0.20947596,0.2128558,0.21632825,0.21989124,0.22354169,0.22727537,0.23108631,0.23496625,0.23890395,0.2428849,0.24689102,0.25090125,0.25489244,0.25884086,0.26272407,0.2665227,0.27022207,0.27381292,0.27729195,0.28066102,0.28392625,0.2870967,0.2901832,0.29319704,0.29614958,0.2990512,0.3019113,0.3047379,0.3075379,0.3103169,0.31307933,0.31582862,0.31856728,0.3212971,0.3240193,0.32673478,0.32944405,0.33214766,0.33484623,0.33754057,0.34023166,0.3429208,0.34560958,0.34829968,0.3509929,0.3536909,0.35639507,0.3591061,0.3618238,0.36454687,0.36727303,0.36999887,0.3727206,0.37543455,0.37813807,0.3808299
6,0.0,0.024270544,0.027462455,0.03232899,0.037812315,0.043875832,0.049939133,0.05563746,0.06093148,0.06595582,0.0708674,0.075766295,0.08069235,0.08564843,0.09061369,0.09555176,0.100422144,0.105191685,0.10984004,0.11435911,0.118751444,0.123028904,0.12721118,0.13132234,0.13538781,0.13943277,0.14348102,0.14755213,0.1516585,0.15580411,0.15998664,0.1642011,0.16844282,0.17270929,0.17700057,0.18131891,0.18566778,0.19005126,0.19447298,0.19893558,0.20343965,0.2079838,0.21256445,0.21717645,0.22181426,0.22647302,0.23115028,0.23584643,0.2405647,0.24531035,0.25009057,0.25491443,0.25979307,0.2647397,0.26976904,0.27489653,0.28013772,0.2855066,0.2910141,0.29666582,0.30245927,0.30838162,0.31440765,0.32049918,0.3266067,0.33267263,0.33863655,0.3444411,0.35003692,0.35538653,0.36046603,0.36526483,0.36978355,0.37403163,0.37802428,0.3817796,0.38531658,0.38865393,0.39180884,0.39479715,0.39763334,0.40033075,0.40290225,0.4053606,0.40771878,0.4099895,0.41218585,0.41431978,0.41640234,0.4184424,0.42044684,0.42242035,0.4243657,0.42628404,0.42817575,0.4300408,0.43187916,0.43369108,0.4354771,0.43723822,0.43897575
7,0.0,0.02227024,0.026527885,0.03072213,0.035740346,0.041560985,0.0482491,0.055395458,0.062699206,0.070210464,0.07801988,0.08609388,0.09429426,0.10246142,0.110471025,0.11824378,0.12574065,0.13296892,0.13999122,0.14690514,0.15381107,0.16078731,0.16785939,0.17499518,0.1821411,0.18926299,0.19635773,0.20344155,0.2105349,0.21765247,0.22480138,0.23198488,0.23920831,0.24648249,0.25382096,0.2612314,0.2687083,0.27623263,0.28377727,0.29130822,0.29878217,0.3061495,0.3133629,0.3203838,0.32718238,0.3337351,0.34002274,0.34603083,0.35175106,0.35718396,0.362339,0.3672331,0.37188813,0.3763281,0.38057715,0.38465828,0.3885927,0.39239964,0.39609557,0.3996944,0.4032067,0.40663975,0.40999767,0.4132818,0.41649178,0.41962647,0.42268494,0.42566693,0.42857325,0.43140563,0.4341668,0.4368599,0.43948856,0.4420565,0.44456744,0.44702518,0.44943333,0.4517957,0.4541155,0.4563962,0.458641,0.46085286,0.4630347,0.4651891,0.4673185,0.46942526,0.47151121,0.47357827,0.4756282,0.4776623,0.47968206,0.4816885,0.48368272,0.48566538,0.48763728,0.48959866,0.49155003,0.49349165,0.49542361,0.49734616,0.49925935
8,0.0,0.022721183,0.026115073,0.03125829,0.03729253,0.043421093,0.04952498,0.055822812,0.06267608,0.070368014,0.07897676,0.08837408,0.09826381,0.10824611,0.11785899,0.12663975,0.1343649,0.14112541,0.14710277,0.15238354,0.15702985,0.16118383,0.16505931,0.16887635,0.17279421,0.17688106,0.18111792,0.18542533,0.18969981,0.19384731,0.19780427,0.2015448,0.20507729,0.20843504,0.21166545,0.21482044,0.21794921,0.22109298,0.22428183,0.22753294,0.2308514,0.234233,0.23766752,0.24114196,0.2446433,0.24816021,0.25168428,0.25521043,0.25873703,0.26226526,0.2657986,0.2693417,0.27289993,0.27647805,0.28007996,0.28370738,0.28735983,0.29103407,0.29472446,0.29842365,0.30212343,0.3058163,0.30949605,0.31315875,0.316803,0.32042974,0.32404172,0.32764313,0.3312387,0.3348332,0.3384308,0.34203473,0.3456469,0.34926745,0.3528949,0.35652578,0.3601548,0.36377528,0.36737913,0.37095764,0.37450203,0.378004,0.38145608,0.38485238,0.38818836,0.39146128,0.39466986,0.39781412,0.40089524,0.40391517,0.4068763,0.40978146,0.41263357,0.41543558,0.41819027,0.4209003,0.423568,0.4261958,0.4287857,0.43133974,0.43385968
9,0.0,0.023257634,0.030533247,0.03517574,0.04098786,0.047660686,0.05523479,0.06432156,0.07479716,0.085851826,0.0966673,0.1067504,0.11597555,0.12453402,0.13270348,0.14062604,0.14823882,0.15526822,0.1612935,0.16594823,0.169161,0.1712063,0.17254342,0.1736126,0.17471293,0.17598791,0.17747432,0.17915674,0.1810037,0.18298665,0.18508679,0.1872939,0.1896003,0.19199619,0.1944687,0.19700406,0.1995899,0.20221703,0.20488007,0.20757711,0.2103087,0.2130771,0.21588492,0.21873452,0.22162706,0.22456224,0.22753808,0.23055117,0.23359698,0.23667036,0.23976578,0.24287798,0.24600202,0.24913366,0.25226936,0.25540635,0.25854278,0.2616774,0.2648097,0.2679397,0.2710679,0.27419508,0.27732223,0.28045067,0.2835816,0.2867164,0.28985617,0.29300213,0.29615518,0.29931623,0.30248576,0.3056641,0.30885124,0.31204686,0.3152504,0.3184609,0.3216771,0.32489738,0.32811996,0.3313427,0.33456331,0.33777937,0.3409885,0.34418797,0.3473755,0.35054883,0.35370576,0.35684443,0.35996318,0.36306062,0.36613563,0.36918738,0.37221524,0.3752188,0.37819794,0.38115257,0.38408276,0.38698882,0.38987112,0.39272988,0.3955658
