trajectory_id,split,index,du,dv,k,ic_seed,nfev,max_abs_state,final_mean_u,final_mean_v,final_std_u,final_std_v
v2-training-0000,training,0,0.0009080734981240635,0.005507539293664843,0.0055588218185254916,20460922,5069,1.6518194675445557,-0.012729429639875889,-0.01274220272898674,0.48696157336235046,0.22686254978179932
v2-training-0001,training,1,0.0009907718357563778,0.004467861057609053,0.004402714860363004,20460923,4241,1.4470432996749878,-0.012864422053098679,-0.012942805886268616,0.42823463678359985,0.2329024076461792
v2-training-0002,training,2,0.0009748547107264871,0.005462480610649759,0.005514985186255313,20460924,4913,1.820407748222351,-0.01709844544529915,-0.01714598760008812,0.46974408626556396,0.23350973427295685
v2-training-0003,training,3,0.001096439479241736,0.004484104135572445,0.005720953564975029,20460925,4217,1.4523968696594238,-0.025500375777482986,-0.02533760294318199,0.40508168935775757,0.2284347265958786
v2-training-0004,training,4,0.00102803378036816,0.004418504597832021,0.0054970112926435236,20460926,4409,1.297367811203003,-0.025999173521995544,-0.026151267811655998,0.41979554295539856,0.2318125069141388
v2-training-0005,training,5,0.0008870777860950423,0.005747470136356666,0.004158915166788474,20460927,5321,1.338735818862915,-0.0127125708386302,-0.012765497900545597,0.49623793363571167,0.2252928614616394
v2-training-0006,training,6,0.0009548713413322092,0.004902019172979055,0.005035450969891062,20460928,4601,1.7195632457733154,-0.009321866557002068,-0.009327968582510948,0.4537257254123688,0.22865281999111176
v2-training-0007,training,7,0.001152769195088994,0.005882677956112936,0.004540626329116067,20460929,5201,1.3439277410507202,-0.015714963898062706,-0.015777474269270897,0.4503403604030609,0.22950047254562378
v2-training-0008,training,8,0.001033403115367781,0.004270595248306707,0.004569092868888325,20460930,4109,1.662697672843933,-0.019736792892217636,-0.01991979405283928,0.4068845808506012,0.23203888535499573
v2-training-0009,training,9,0.0008505152295207043,0.005972505453577745,0.0048099134616625605,20460931,5381,1.630068302154541,-0.0062658414244651794,-0.0062882788479328156,0.5098763704299927,0.22554543614387512
v2-training-0010,training,10,0.0009759611072636084,0.005940018416765494,0.00516545095380588,20460932,5345,1.4024916887283325,-0.014784120954573154,-0.01486264355480671,0.48914656043052673,0.2332712560892105
v2-training-0011,training,11,0.001160919721580761,0.004760832253706936,0.005551019504323274,20460933,4505,1.2179045677185059,-0.025650056079030037,-0.025669138878583908,0.40780195593833923,0.22131186723709106
v2-training-0012,training,12,0.0009619866109361253,0.005353846322052972,0.004499730535718187,20460934,4709,2.0059523582458496,-0.01894192583858967,-0.019071992486715317,0.4711481034755707,0.23747949302196503
v2-training-0013,training,13,0.0010102873507293218,0.004403068526687799,0.005196756120639351,20460935,4265,1.4715485572814941,-0.017372969537973404,-0.01730860397219658,0.424735426902771,0.22366133332252502
v2-training-0014,training,14,0.0009804650419718561,0.005828641683793561,0.004610697216873226,20460936,5249,1.783987283706665,-0.014011893421411514,-0.013973713852465153,0.4829387962818146,0.23164887726306915
v2-training-0015,training,15,0.0010455843094886183,0.004005709333642529,0.0056456961916950535,20460937,4025,1.6238406896591187,-0.019246244803071022,-0.019278841093182564,0.3931519687175751,0.22165511548519135
v2-training-0016,training,16,0.0008790439859472625,0.004504854397017696,0.00422941600447036,20460938,4577,2.1843743324279785,-0.009198619052767754,-0.00930298026651144,0.45225825905799866,0.21997922658920288
v2-training-0017,training,17,0.0011051517510568469,0.005204573330686715,0.004529588365705537,20460939,4841,1.5379884243011475,-0.011120229959487915,-0.011157684028148651,0.43986576795578003,0.22574806213378906
v2-training-0018,training,18,0.0010016361133562495,0.005468034991837151,0.005187790008434261,20460940,4997,1.548042893409729,-0.021126389503479004,-0.02128518745303154,0.4676261842250824,0.23508679866790771
v2-training-0019,training,19,0.00084872722237301,0.0056160986700646565,0.004050788900342815,20460941,5189,1.6532899141311646,-0.01351084839552641,-0.01345609687268734,0.5077016949653625,0.22489580512046814
v2-training-0020,training,20,0.0009532898140616515,0.004721564087758457,0.005688808510431452,20460942,4385,1.4438233375549316,-0.01937016472220421,-0.019519053399562836,0.4524115025997162,0.23503424227237701
v2-training-0021,training,21,0.0009891420747277287,0.004942486570236443,0.005994006943928553,20460943,4757,1.376649022102356,-0.028975317254662514,-0.0290377140045166,0.44810396432876587,0.22646507620811462
v2-training-0022,training,22,0.0010235605717029746,0.004673175793086356,0.004859687077215276,20460944,4433,1.5510979890823364,-0.020036324858665466,-0.020164720714092255,0.430859237909317,0.2288016676902771
v2-training-0023,training,23,0.0011680683580006744,0.0041833896679074134,0.005961171150720148,20460945,4049,1.4376739263534546,-0.022789426147937775,-0.022787638008594513,0.38107454776763916,0.2261047065258026
v2-training-0024,training,24,0.0008855105343848031,0.0048948745195285465,0.005260595082911452,20460946,4529,1.2010374069213867,-0.02132725715637207,-0.021463310346007347,0.4703722298145294,0.2271234691143036
v2-training-0025,training,25,0.001089118207222728,0.005559627165937161,0.004722773089836919,20460947,5021,1.64641535282135,-0.025374939665198326,-0.025401977822184563,0.45176705718040466,0.2287152111530304
v2-training-0026,training,26,0.0011166972261375677,0.004609772906482873,0.00566238720072345,20460948,4397,1.3883347511291504,-0.02752300538122654,-0.02759140357375145,0.4072861969470978,0.22145859897136688
v2-training-0027,training,27,0.0011472209076355572,0.004360553657320817,0.005766962419099183,20460949,4097,1.1563938856124878,-0.024549517780542374,-0.02466999925673008,0.38971278071403503,0.2259354591369629
v2-training-0028,training,28,0.0010529423229460448,0.0057718208076835,0.005955544585817985,20460950,5273,1.5567783117294312,-0.01358424499630928,-0.013533488847315311,0.4698196351528168,0.22636038064956665
