trajectory_id,split,index,du,dv,k,ic_seed,ic_regime,parameter_band,success,cached,runtime_seconds,nfev,max_abs_state,final_mean_u,final_mean_v,final_std_u,final_std_v,message
train-0000,train,0,0.001182174741199613,0.00520909809907367,0.004937852585990024,11729,train,central,True,True,1.4447183749871328,4625,1.7829620838165283,-0.019940878364835157,-0.020169433461050268,0.42226316623102295,0.21626033964762886,The solver successfully reached the end of the integration interval.
train-0001,train,1,0.0009719774847671943,0.004317853581439416,0.004376299309488875,11730,train,central,True,True,1.3701590420096181,3965,2.391700506210327,-0.015708192836317636,-0.015772375851788922,0.4254235808547836,0.22446850736678023,The solver successfully reached the end of the integration interval.
train-0002,train,2,0.0009836887138220819,0.004337216965331589,0.004816257826934518,11731,train,central,True,True,1.3577872919850051,3965,2.0853445529937744,-0.018092763051432925,-0.018147909149803354,0.4223193440189432,0.2216728467091019,The solver successfully reached the end of the integration interval.
train-0003,train,3,0.0009304125207340737,0.005150198981380137,0.004155466726510192,11732,train,central,True,True,1.438239082985092,4565,2.1742160320281982,-0.010329093761164643,-0.010359507596400697,0.46555853990891594,0.22902204639472767,The solver successfully reached the end of the integration interval.
train-0004,train,4,0.0008382321562183457,0.005300599106082339,0.004622821901060502,11733,train,central,True,True,1.3837749999947846,4721,1.7808622121810913,-0.014426954939960268,-0.014411627470819255,0.4941249100185708,0.22995857447613569,The solver successfully reached the end of the integration interval.
train-0005,train,5,0.0009585717537710814,0.005586923058289525,0.0053828064546787135,11734,train,central,True,True,1.4117150410020258,4937,2.2020320892333984,-0.02488574656059761,-0.024905053188001958,0.477227915987374,0.22466136372154044,The solver successfully reached the end of the integration interval.
train-0006,train,6,0.000927459554643372,0.004279698814752049,0.004516440440637293,11735,train,central,True,True,1.288273250014754,3941,2.0358121395111084,-0.012623295819814473,-0.012643168480233058,0.42818105433088055,0.22765195191855586,The solver successfully reached the end of the integration interval.
train-0007,train,7,0.0011532747223594406,0.005036055481226992,0.004702169702789818,11736,train,central,True,True,1.3499731670017354,4493,2.0500659942626953,-0.022456842795804732,-0.022492582122213278,0.4186410210985389,0.21804131138158372,The solver successfully reached the end of the integration interval.
train-0008,train,8,0.0011391710973377622,0.005429022860377499,0.004606150777794735,11737,train,central,True,True,1.3371413330023643,4781,1.8987847566604614,-0.018015819271781197,-0.01798087680867866,0.4352702587995083,0.22152182153032948,The solver successfully reached the end of the integration interval.
train-0009,train,9,0.0009782044389045727,0.004446058503787686,0.004893635387941045,11738,train,central,True,True,1.2634527079935651,4049,2.0017733573913574,-0.0255350233509688,-0.02557490586103306,0.42846586275697807,0.22089272011931266,The solver successfully reached the end of the integration interval.
train-0010,train,10,0.0010575568611367499,0.004120623105276658,0.00436016729085222,11739,train,central,True,True,1.247251207998488,3809,2.1532340049743652,-0.030048416711476733,-0.03005850971995372,0.3963788773263281,0.22235014356299695,The solver successfully reached the end of the integration interval.
train-0011,train,11,0.0008807312648628218,0.0040911322398437255,0.004066855683260157,11740,train,central,True,True,1.2417182500066701,3845,2.3818247318267822,-0.014411614137102902,-0.014467790945719372,0.4323736994938349,0.235962910940571,The solver successfully reached the end of the integration interval.
train-0012,train,12,0.0011425377954101218,0.005256167420177241,0.004677791684112613,11741,train,central,True,True,1.3449617919977754,4673,2.0604987144470215,-0.030034353519496904,-0.03007274770061663,0.4289913093900617,0.22366777890142372,The solver successfully reached the end of the integration interval.
train-0013,train,13,0.0010519975048461888,0.004170604553949416,0.005004957040232214,11742,train,central,True,True,1.2573909159982577,3917,2.414138078689575,-0.027206579043721035,-0.02748708877796968,0.39496444954336885,0.2217868795410873,The solver successfully reached the end of the integration interval.
train-0014,train,14,0.0008907774696828624,0.004203335219483896,0.005859953796058819,11743,train,central,True,True,1.265615375014022,3953,2.0695767402648926,-0.025568525514898965,-0.025548841781599663,0.4374920384747676,0.22947258466719486,The solver successfully reached the end of the integration interval.
train-0015,train,15,0.000820873889244725,0.005505526229507482,0.0045344498048641,11744,train,central,True,True,1.3688924160087481,4889,2.063413619995117,-0.011505580207675337,-0.011669098401704048,0.5007087628739256,0.2305285421556792,The solver successfully reached the end of the integration interval.
train-0016,train,16,0.0010970190396965883,0.005908843796178753,0.005157681441720897,11745,train,central,True,True,1.360914041986689,5165,2.3802380561828613,-0.010886256616334578,-0.010917690708751149,0.4598784750566519,0.22817374512157704,The solver successfully reached the end of the integration interval.
train-0017,train,17,0.0009809969432361188,0.004071608601480605,0.005213427054729932,11746,train,central,True,True,1.1432734160043765,3785,1.9598946571350098,-0.01826295181480131,-0.018397413120337047,0.407882236735969,0.22483007878061217,The solver successfully reached the end of the integration interval.
train-0018,train,18,0.0010097777077142636,0.00432826313814914,0.005147892041482164,11747,train,central,True,True,1.191220084001543,3965,2.507883310317993,-0.022686445538255384,-0.022444100184408455,0.4122903941791484,0.22587031166345573,The solver successfully reached the end of the integration interval.
train-0019,train,19,0.0009067564965909995,0.004052246943641107,0.005732448910225786,11748,train,central,True,True,1.1498922500177287,3785,2.252732038497925,-0.018233614003719367,-0.01838653204116092,0.4265123309361449,0.2274021122190355,The solver successfully reached the end of the integration interval.
train-0020,train,20,0.0008052254407159389,0.004841281781370822,0.0050756162593078614,11749,train,central,True,True,1.2478384999849368,4481,2.1245274543762207,-0.01837158438586073,-0.018401650369613165,0.48419287891696616,0.22920911008873907,The solver successfully reached the end of the integration interval.
train-0021,train,21,0.0008599583374044118,0.005495607783312368,0.004056637274885164,11750,train,central,True,True,1.4351210419845302,4865,2.924182176589966,-0.013888543574267942,-0.013948721712943701,0.4944495279444587,0.23032154257712664,The solver successfully reached the end of the integration interval.
train-0022,train,22,0.0008708224327609545,0.005647130960907824,0.00402521754064491,11751,train,central,True,True,1.4733080840087496,4949,1.703161597251892,-0.010689657774321404,-0.010713659818153864,0.49845320745733485,0.23056236169620706,The solver successfully reached the end of the integration interval.
train-0023,train,23,0.0009818693972093785,0.005533871261658564,0.005811118559102711,11752,train,central,True,True,1.4544434169947635,4853,1.8407713174819946,-0.017320817163820834,-0.017373371744895394,0.4714311021060039,0.22879793812611318,The solver successfully reached the end of the integration interval.
train-0024,train,24,0.0011976210578424793,0.004614638150961045,0.004443413709884733,11753,train,central,True,True,1.2135465409955941,4193,1.8915705680847168,-0.021680133375371113,-0.021733256229894637,0.3930079118933146,0.21884327396328343,The solver successfully reached the end of the integration interval.
train-0025,train,25,0.0011205509996939482,0.005312880996406344,0.004428544086809201,11754,train,central,True,True,1.3737089170026593,4697,2.182424306869507,-0.00804356078538504,-0.008027446497653301,0.4383469276531193,0.22775029925790033,The solver successfully reached the end of the integration interval.
train-0026,train,26,0.0011231034668695034,0.005526722179869815,0.0043038447587683,11755,train,central,True,True,1.4468142910045572,4865,1.9746716022491455,-0.01495385474361477,-0.014991014135310454,0.4450985299677876,0.22446218725498657,The solver successfully reached the end of the integration interval.
train-0027,train,27,0.0009944323132579525,0.005607462827043939,0.005961612305763595,11756,train,central,True,True,1.4689633329981007,4913,1.826838493347168,-0.015592210927962924,-0.015707879502009803,0.4710568951382111,0.2242654520494324,The solver successfully reached the end of the integration interval.
train-0028,train,28,0.0009178920629768384,0.0044555728363577865,0.004417634277412541,11757,train,central,True,True,1.157087750005303,4085,1.9694640636444092,-0.018796269872524363,-0.01874641441752445,0.4395592083435635,0.22832819041524477,The solver successfully reached the end of the integration interval.
train-0029,train,29,0.0011174306558368015,0.004584484144355633,0.005517138328723627,11758,train,central,True,True,1.227964542020345,4133,1.9295120239257812,-0.024031708713763145,-0.024025908870548562,0.4045847302550455,0.22620392061841524,The solver successfully reached the end of the integration interval.
train-0030,train,30,0.0008216405244892504,0.0052184192806554236,0.005198673954992743,11759,train,central,True,True,1.4174499579821713,4637,2.0531704425811768,-0.006312271512356915,-0.006365001215862698,0.4898208305727023,0.2302294725561709,The solver successfully reached the end of the integration interval.
train-0031,train,31,0.0011495148155261882,0.004497216831677711,0.005756138612570711,11760,train,central,True,True,1.2935377919930033,4085,2.2658472061157227,-0.016270153666902765,-0.016339270533794803,0.39524725869421395,0.2244477805223023,The solver successfully reached the end of the integration interval.
train-0032,train,32,0.0009453655447295917,0.005755661759513571,0.0041108476399991534,11761,train,central,True,True,1.5732016669935547,5033,2.0441935062408447,-0.01082405721680857,-0.010728012651628371,0.48357503424648135,0.23265110064327052,The solver successfully reached the end of the integration interval.
train-0033,train,33,0.0010207843015620408,0.004006877419510336,0.00498023309186522,11762,train,central,True,True,1.1488099999842234,3749,2.4212658405303955,-0.0232049557453351,-0.023394621998561682,0.39427499493360585,0.22471943697778277,The solver successfully reached the end of the integration interval.
train-0034,train,34,0.0008503801430745464,0.004547146328339251,0.005335827043926512,11763,train,central,True,True,1.3033870829967782,4181,2.16145920753479,-0.015583115856870222,-0.015614742439094442,0.46109804700103363,0.2281536116279592,The solver successfully reached the end of the integration interval.
train-0035,train,35,0.0009862495049011257,0.005942684123730011,0.005302927257022249,11764,train,central,True,True,1.5815823749871925,5201,1.931355595588684,-0.013915175157610982,-0.013966200556511876,0.4837057954678717,0.22555190467103448,The solver successfully reached the end of the integration interval.
train-0036,train,36,0.0008974481189173812,0.004591775584976427,0.004734443254579166,11765,train,central,True,True,1.2182051249837968,4193,2.1524431705474854,-0.022705916327209863,-0.0227623121307019,0.4469072590541067,0.22723649167169843,The solver successfully reached the end of the integration interval.
train-0037,train,37,0.0009967418892552905,0.004722488351909133,0.004227647961939577,11766,train,central,True,True,1.255468125018524,4229,1.7751718759536743,-0.023929158504436998,-0.023913951817775114,0.4332168518848516,0.2278648476348736,The solver successfully reached the end of the integration interval.
train-0038,train,38,0.0008827650214915734,0.005556266272925268,0.0045606166738783715,11767,train,central,True,True,1.5141996250022203,4889,1.7092924118041992,-0.007978253604260743,-0.007961631628275345,0.49205959365079743,0.22393681449684114,The solver successfully reached the end of the integration interval.
train-0039,train,39,0.0008107788960332762,0.004063267640302812,0.004093300957519772,11768,train,central,True,True,1.2074311250180472,3809,1.866406798362732,-0.021698829773342254,-0.0216655180309111,0.44670842138116756,0.22727886294424443,The solver successfully reached the end of the integration interval.
train-0040,train,40,0.0010733474209874833,0.005913228678097011,0.004967754279330203,11769,train,central,True,True,1.5280239999992773,5129,2.078601598739624,-0.02646020688088413,-0.02660626218317219,0.4661035391198339,0.22143388838703446,The solver successfully reached the end of the integration interval.
train-0041,train,41,0.0008256895807445421,0.005469984127208489,0.005435785600753213,11770,train,central,True,True,1.4302376660052687,4817,2.166048049926758,-0.017064295446175493,-0.017132837678783375,0.501384783375539,0.2232891349709454,The solver successfully reached the end of the integration interval.
train-0042,train,42,0.0011731866136635463,0.0045268181377488125,0.004046360532156898,11771,train,central,True,True,1.229511082987301,4097,1.9965307712554932,-0.018084412727343846,-0.018168786292808825,0.39394548354681164,0.21676178759617673,The solver successfully reached the end of the integration interval.
train-0043,train,43,0.0010648776488974773,0.00409665907623784,0.00508758323341304,11772,train,central,True,True,1.1623887089954223,3845,1.84800124168396,-0.020255846958495916,-0.02018241072721705,0.39197702326949335,0.2238187899789557,The solver successfully reached the end of the integration interval.
train-0044,train,44,0.0008633243526923826,0.004809872931703371,0.00478589260363577,11773,train,central,True,True,1.3223615000024438,4349,2.0339603424072266,-0.015208372715598273,-0.015242297591613774,0.4695685451128096,0.2302818920688165,The solver successfully reached the end of the integration interval.
train-0045,train,45,0.001115944982410791,0.004192354458320233,0.004506500231271667,11774,train,central,True,True,1.2272532919887453,3929,2.5350239276885986,-0.02448840640231431,-0.024443153268620676,0.38537722932190926,0.21995902930698377,The solver successfully reached the end of the integration interval.
train-0046,train,46,0.0011586889878995915,0.005772872337887736,0.004525532832731246,11775,train,central,True,True,1.5511980839946773,5045,1.9180704355239868,-0.013597685158195816,-0.013588569015841045,0.44682734416897896,0.22993029555233063,The solver successfully reached the end of the integration interval.
