trajectory_id,split,index,du,dv,k,ic_seed,ic_regime,parameter_band
train-0000,train,0,0.001182174741199613,0.00520909809907367,0.004937852585990024,11729,train,central
train-0001,train,1,0.0009719774847671943,0.004317853581439416,0.004376299309488875,11730,train,central
train-0002,train,2,0.0009836887138220819,0.004337216965331589,0.004816257826934518,11731,train,central
train-0003,train,3,0.0009304125207340737,0.005150198981380137,0.004155466726510192,11732,train,central
train-0004,train,4,0.0008382321562183457,0.005300599106082339,0.004622821901060502,11733,train,central
train-0005,train,5,0.0009585717537710814,0.005586923058289525,0.0053828064546787135,11734,train,central
train-0006,train,6,0.000927459554643372,0.004279698814752049,0.004516440440637293,11735,train,central
train-0007,train,7,0.0011532747223594406,0.005036055481226992,0.004702169702789818,11736,train,central
train-0008,train,8,0.0011391710973377622,0.005429022860377499,0.004606150777794735,11737,train,central
train-0009,train,9,0.0009782044389045727,0.004446058503787686,0.004893635387941045,11738,train,central
train-0010,train,10,0.0010575568611367499,0.004120623105276658,0.00436016729085222,11739,train,central
train-0011,train,11,0.0008807312648628218,0.0040911322398437255,0.004066855683260157,11740,train,central
train-0012,train,12,0.0011425377954101218,0.005256167420177241,0.004677791684112613,11741,train,central
train-0013,train,13,0.0010519975048461888,0.004170604553949416,0.005004957040232214,11742,train,central
train-0014,train,14,0.0008907774696828624,0.004203335219483896,0.005859953796058819,11743,train,central
train-0015,train,15,0.000820873889244725,0.005505526229507482,0.0045344498048641,11744,train,central
train-0016,train,16,0.0010970190396965883,0.005908843796178753,0.005157681441720897,11745,train,central
train-0017,train,17,0.0009809969432361188,0.004071608601480605,0.005213427054729932,11746,train,central
train-0018,train,18,0.0010097777077142636,0.00432826313814914,0.005147892041482164,11747,train,central
train-0019,train,19,0.0009067564965909995,0.004052246943641107,0.005732448910225786,11748,train,central
train-0020,train,20,0.0008052254407159389,0.004841281781370822,0.0050756162593078614,11749,train,central
train-0021,train,21,0.0008599583374044118,0.005495607783312368,0.004056637274885164,11750,train,central
train-0022,train,22,0.0008708224327609545,0.005647130960907824,0.00402521754064491,11751,train,central
train-0023,train,23,0.0009818693972093785,0.005533871261658564,0.005811118559102711,11752,train,central
train-0024,train,24,0.0011976210578424793,0.004614638150961045,0.004443413709884733,11753,train,central
train-0025,train,25,0.0011205509996939482,0.005312880996406344,0.004428544086809201,11754,train,central
train-0026,train,26,0.0011231034668695034,0.005526722179869815,0.0043038447587683,11755,train,central
train-0027,train,27,0.0009944323132579525,0.005607462827043939,0.005961612305763595,11756,train,central
train-0028,train,28,0.0009178920629768384,0.0044555728363577865,0.004417634277412541,11757,train,central
train-0029,train,29,0.0011174306558368015,0.004584484144355633,0.005517138328723627,11758,train,central
train-0030,train,30,0.0008216405244892504,0.0052184192806554236,0.005198673954992743,11759,train,central
train-0031,train,31,0.0011495148155261882,0.004497216831677711,0.005756138612570711,11760,train,central
train-0032,train,32,0.0009453655447295917,0.005755661759513571,0.0041108476399991534,11761,train,central
train-0033,train,33,0.0010207843015620408,0.004006877419510336,0.00498023309186522,11762,train,central
train-0034,train,34,0.0008503801430745464,0.004547146328339251,0.005335827043926512,11763,train,central
train-0035,train,35,0.0009862495049011257,0.005942684123730011,0.005302927257022249,11764,train,central
train-0036,train,36,0.0008974481189173812,0.004591775584976427,0.004734443254579166,11765,train,central
train-0037,train,37,0.0009967418892552905,0.004722488351909133,0.004227647961939577,11766,train,central
train-0038,train,38,0.0008827650214915734,0.005556266272925268,0.0045606166738783715,11767,train,central
train-0039,train,39,0.0008107788960332762,0.004063267640302812,0.004093300957519772,11768,train,central
train-0040,train,40,0.0010733474209874833,0.005913228678097011,0.004967754279330203,11769,train,central
train-0041,train,41,0.0008256895807445421,0.005469984127208489,0.005435785600753213,11770,train,central
train-0042,train,42,0.0011731866136635463,0.0045268181377488125,0.004046360532156898,11771,train,central
train-0043,train,43,0.0010648776488974773,0.00409665907623784,0.00508758323341304,11772,train,central
train-0044,train,44,0.0008633243526923826,0.004809872931703371,0.00478589260363577,11773,train,central
train-0045,train,45,0.001115944982410791,0.004192354458320233,0.004506500231271667,11774,train,central
train-0046,train,46,0.0011586889878995915,0.005772872337887736,0.004525532832731246,11775,train,central
train-0047,train,47,0.0010294889242370153,0.005673923074613155,0.004662438263217894,11776,train,central
train-0048,train,48,0.000990015340540305,0.004701215169297537,0.004798782467321869,11777,train,central
train-0049,train,49,0.0008400266552685576,0.005872263180230441,0.005019320629061343,11778,train,central
train-0050,train,50,0.001136051723884677,0.00521979010120056,0.0043233799175318955,11779,train,central
train-0051,train,51,0.0010838767786030064,0.005890415067000831,0.004258238071098356,11780,train,central
train-0052,train,52,0.0010832238771217716,0.004561180020451579,0.005342825470872805,11781,train,central
train-0053,train,53,0.0010601220422556583,0.00509713106617069,0.005426574893695601,11782,train,central
train-0054,train,54,0.0009691489239478921,0.004755901691789154,0.004870930466049569,11783,train,central
train-0055,train,55,0.001037988777932153,0.004396391667387458,0.004862262756661083,11784,train,central
train-0056,train,56,0.0011059177570603175,0.0043550693747944,0.005523169048860896,11785,train,central
train-0057,train,57,0.0010696646424677148,0.004784417487799855,0.004973583601617551,11786,train,central
train-0058,train,58,0.0009915590671348408,0.005019839711878636,0.004742101573423634,11787,train,central
train-0059,train,59,0.0011337207114020917,0.0052288967561216915,0.005622709107266751,11788,train,central
train-0060,train,60,0.0008530325195096434,0.004382888090123776,0.004486153987485247,11789,train,central
train-0061,train,61,0.0011604460830381678,0.004225095372955554,0.004844731970686557,11790,train,central
train-0062,train,62,0.0008138273968112811,0.005380366736209135,0.004949957602869335,11791,train,central
train-0063,train,63,0.0009488265897947979,0.0043678817658297595,0.004033554440934109,11792,train,central
train-0064,train,64,0.000929347990920013,0.005358083593352022,0.005154779064085832,11793,train,central
train-0065,train,65,0.000868292152251053,0.005112699335805413,0.005349714981332815,11794,train,central
train-0066,train,66,0.00116468353983279,0.005834555253431455,0.004343325144312885,11795,train,central
train-0067,train,67,0.000816222193865773,0.005961520584018989,0.005045366043217663,11796,train,central
train-0068,train,68,0.0008189932546031027,0.00443144667884019,0.004575072820133351,11797,train,central
train-0069,train,69,0.0011408901181113507,0.0058449531866773445,0.004820873326846221,11798,train,central
train-0070,train,70,0.0008395311577105156,0.004078863525475901,0.004953415906184718,11799,train,central
train-0071,train,71,0.001194213716727095,0.005424209976698624,0.005367034318141107,11800,train,central
train-0072,train,72,0.0011272296221842123,0.005234447396362055,0.005453971309326611,11801,train,central
train-0073,train,73,0.0010591122434033338,0.005620844641493989,0.004989187965871513,11802,train,central
train-0074,train,74,0.0009840862417844765,0.005781394316597246,0.005275611695387887,11803,train,central
train-0075,train,75,0.0010143614344077228,0.005411532436435982,0.004895235854025233,11804,train,central
train-0076,train,76,0.0008513083076171359,0.005665289042159862,0.00581555758952915,11805,train,central
train-0077,train,77,0.0011857282875122966,0.005564169487074266,0.004790784351453924,11806,train,central
train-0078,train,78,0.0011422042830092037,0.005354376445678987,0.005871355572098691,11807,train,central
train-0079,train,79,0.0010245726030663623,0.005001772320657068,0.0051143009056264024,11808,train,central
train-0080,train,80,0.0009655907936767666,0.005899296334302021,0.005607647573829295,11809,train,central
train-0081,train,81,0.0009213669699267516,0.004283324130978426,0.005328102575891596,11810,train,central
train-0082,train,82,0.0009131803678827089,0.005980559722561469,0.004854586177936322,11811,train,central
train-0083,train,83,0.0009385010852729057,0.004626826332893583,0.004639380506903418,11812,train,central
train-0084,train,84,0.0011776037054489694,0.005157089720287615,0.005706867509693693,11813,train,central
train-0085,train,85,0.0009424885728246058,0.004944063442291272,0.005851878893098436,11814,train,central
train-0086,train,86,0.0009955049424727489,0.004390629073148737,0.005925672227446664,11815,train,central
train-0087,train,87,0.0010374696454892736,0.005864922859971462,0.005971263560277183,11816,train,central
train-0088,train,88,0.0009172836314673449,0.005687598823429094,0.0043665328495683265,11817,train,central
train-0089,train,89,0.0008565662051588466,0.005485240496363862,0.005868543145692273,11818,train,central
train-0090,train,90,0.000908316487570484,0.0051923054069119125,0.004332396479906589,11819,train,central
train-0091,train,91,0.0010064765410223303,0.00485592389203194,0.005896893628628915,11820,train,central
train-0092,train,92,0.0010502299041188585,0.0041446177723608165,0.005769782201505586,11821,train,central
train-0093,train,93,0.0010437076789738453,0.004756979068893638,0.0048350235113105225,11822,train,central
train-0094,train,94,0.0008426270285523524,0.004766890199162924,0.004718917521926179,11823,train,central
train-0095,train,95,0.001112006277594278,0.0048017769371491775,0.005406965008108899,11824,train,central
train-0096,train,96,0.0009638390129823467,0.004864189623629486,0.005682649306012556,11825,train,central
train-0097,train,97,0.0010267364684032772,0.00434413943530946,0.005978776229085452,11826,train,central
train-0098,train,98,0.0010535724268303937,0.005104663819276373,0.0053571831794362555,11827,train,central
train-0099,train,99,0.001192694913241051,0.0042179858465865175,0.005834359442080594,11828,train,central
train-0100,train,100,0.0011131344114892474,0.004162592675571893,0.0054726713372148334,11829,train,central
train-0101,train,101,0.0009024789467513602,0.00452168744787423,0.0052261652357836075,11830,train,central
train-0102,train,102,0.0011740454365141183,0.0059980570604820805,0.005459473508777852,11831,train,central
train-0103,train,103,0.0011705409038889041,0.005066583645012717,0.004314639778138256,11832,train,central
train-0104,train,104,0.0009866023100404784,0.004814050988045533,0.00434521064601091,11833,train,central
train-0105,train,105,0.0008113075998643917,0.004534754908008871,0.00492940187527905,11834,train,central
train-0106,train,106,0.0011308716154882262,0.004899960025736057,0.005697134905830357,11835,train,central
train-0107,train,107,0.0009526103649648487,0.005246104188798775,0.005701475448648183,11836,train,central
train-0108,train,108,0.0010113640244115455,0.004737283227272528,0.0041045579460175724,11837,train,central
train-0109,train,109,0.0008355998221519542,0.005119521103426165,0.005775835017720223,11838,train,central
train-0110,train,110,0.0011865716759265183,0.005615729594051065,0.005920918732812051,11839,train,central
train-0111,train,111,0.001090201093735177,0.005082891411215514,0.004923777156537856,11840,train,central
train-0112,train,112,0.001119809361404939,0.005808631320028606,0.004282928661923804,11841,train,central
train-0113,train,113,0.0011895330591467428,0.004423576231546472,0.005839412981801035,11842,train,central
train-0114,train,114,0.0008266521431842922,0.00454367034935508,0.005299344089272206,11843,train,central
train-0115,train,115,0.0008600557510479011,0.004600708770336729,0.005167110584495906,11844,train,central
