trajectory_id,seed,category,ic_regime,du,dv,k,success,cached,runtime_seconds,nfev,max_abs_state,final_mean_u,final_mean_v,final_std_u,final_std_v,message
pilot-00,1729,train_corner,train,0.0008,0.004,0.004,True,True,1.2745665830007056,3761,2.017789125442505,-0.007197856903076172,-0.007226748391985893,0.44649654626846313,0.2335384339094162,The solver successfully reached the end of the integration interval.
pilot-01,1730,train_corner,train,0.0008,0.004,0.006,True,True,1.2714376249932684,3725,2.5870816707611084,-0.02049199305474758,-0.020567838102579117,0.44515109062194824,0.234944686293602,The solver successfully reached the end of the integration interval.
pilot-02,1731,train_corner,train,0.0008,0.006,0.004,True,True,1.5284390000015264,5201,2.020613431930542,-0.011898155324161053,-0.011956837028265,0.5236379504203796,0.23079121112823486,The solver successfully reached the end of the integration interval.
pilot-03,1732,train_corner,train,0.0008,0.006,0.006,True,True,1.5247745409869822,5213,1.9477161169052124,-0.021598922088742256,-0.02154526859521866,0.5218362212181091,0.23367981612682343,The solver successfully reached the end of the integration interval.
pilot-04,1733,train_corner,train,0.0012,0.004,0.004,True,True,1.0612153750116704,3725,2.2287003993988037,-0.025777505710721016,-0.02567257732152939,0.35782304406166077,0.2102041244506836,The solver successfully reached the end of the integration interval.
pilot-05,1734,train_corner,train,0.0012,0.004,0.006,True,True,1.0723479579901323,3761,2.2029826641082764,-0.037801023572683334,-0.03758864104747772,0.358303427696228,0.21639496088027954,The solver successfully reached the end of the integration interval.
pilot-06,1735,train_corner,train,0.0012,0.006,0.004,True,True,1.5410958749998827,5213,1.5046323537826538,-0.008088324218988419,-0.008049356751143932,0.4433603584766388,0.22284027934074402,The solver successfully reached the end of the integration interval.
pilot-07,1736,train_corner,train,0.0012,0.006,0.006,True,True,1.51527841600182,5201,1.8044278621673584,-0.010027717798948288,-0.01009433064609766,0.44605523347854614,0.22516202926635742,The solver successfully reached the end of the integration interval.
pilot-08,1737,ood_corner,train,0.0006,0.003,0.0025,True,True,0.857223458995577,3041,1.973456621170044,-0.005808471702039242,-0.005944540724158287,0.44646307826042175,0.23654232919216156,The solver successfully reached the end of the integration interval.
pilot-09,1738,ood_corner,train,0.0006,0.003,0.0075,True,True,0.8802269580046413,3161,2.1374783515930176,-0.026985010132193565,-0.02713247761130333,0.44753748178482056,0.22536136209964752,The solver successfully reached the end of the integration interval.
pilot-10,1739,ood_corner,train,0.0006,0.007,0.0025,True,True,1.654450165995513,5969,2.1040916442871094,-0.005082632880657911,-0.005095049738883972,0.5923055410385132,0.21199093759059906,The solver successfully reached the end of the integration interval.
pilot-11,1740,ood_corner,train,0.0006,0.007,0.0075,True,True,1.6762356249964796,5993,1.6019150018692017,-0.014305638149380684,-0.014173813164234161,0.5918681025505066,0.22863724827766418,The solver successfully reached the end of the integration interval.
pilot-12,1741,ood_corner,train,0.0014,0.003,0.0025,True,True,0.9488047920021927,2933,1.7209001779556274,-0.033185072243213654,-0.03314609080553055,0.24563924968242645,0.17519038915634155,The solver successfully reached the end of the integration interval.
pilot-13,1742,ood_corner,train,0.0014,0.003,0.0075,True,True,0.9644699580094311,2969,1.7506295442581177,-0.09280207753181458,-0.09282635152339935,0.23205848038196564,0.16626907885074615,The solver successfully reached the end of the integration interval.
pilot-14,1743,ood_corner,train,0.0014,0.007,0.0025,True,True,1.7456272080016788,5957,2.022418737411499,-0.012261515483260155,-0.012266607023775578,0.4505139887332916,0.22196681797504425,The solver successfully reached the end of the integration interval.
pilot-15,1744,ood_corner,train,0.0014,0.007,0.0075,True,True,1.7455757500138134,5945,2.074737787246704,-0.030339237302541733,-0.030103858560323715,0.4458106756210327,0.21408282220363617,The solver successfully reached the end of the integration interval.
pilot-16,1745,one_factor_du_low,train,0.0006,0.005,0.005,True,True,1.3767930839967448,4493,1.7295507192611694,-0.01352982223033905,-0.01350526325404644,0.5389860272407532,0.23271965980529785,The solver successfully reached the end of the integration interval.
pilot-17,1746,one_factor_du_high,train,0.0014,0.005,0.005,True,True,1.3492697500041686,4457,1.8805004358291626,-0.024001959711313248,-0.023894410580396652,0.3767193853855133,0.21512514352798462,The solver successfully reached the end of the integration interval.
pilot-18,1747,one_factor_dv_low,train,0.001,0.003,0.005,True,True,0.8440213750000112,3101,1.7767482995986938,-0.026538759469985962,-0.026562869548797607,0.3322976231575012,0.21024028956890106,The solver successfully reached the end of the integration interval.
pilot-19,1748,one_factor_dv_high,train,0.001,0.007,0.005,True,True,1.6146785829914734,5969,1.825347661972046,-0.011599577963352203,-0.011605866253376007,0.510223388671875,0.22113433480262756,The solver successfully reached the end of the integration interval.
pilot-20,1749,one_factor_k_low,train,0.001,0.005,0.0025,True,True,1.3720892909914255,4517,2.8397340774536133,-0.008524925448000431,-0.008520808070898056,0.4452033042907715,0.22069774568080902,The solver successfully reached the end of the integration interval.
pilot-21,1750,one_factor_k_high,train,0.001,0.005,0.0075,True,True,1.363524749991484,4469,1.924965739250183,-0.029025942087173462,-0.02920205518603325,0.4447251558303833,0.2226465940475464,The solver successfully reached the end of the integration interval.
pilot-22,1751,ood_ic,ood,0.001,0.005,0.005,True,True,0.8989041660097428,4409,3.3131344318389893,-0.025273829698562622,-0.0251772478222847,0.44659918546676636,0.19786712527275085,The solver successfully reached the end of the integration interval.
pilot-23,1752,ood_ic,ood,0.001,0.005,0.005,True,True,0.4929216660093516,4409,4.237602233886719,-0.019194912165403366,-0.01923443377017975,0.44244176149368286,0.19950567185878754,The solver successfully reached the end of the integration interval.
